date_rdv,canal,profil,motif,sous_motif,date_creation,id_conseiller,bureau,mois,annee_mois,nb_rdv
2024-11-07,web,Manager,Comptabilité,Réclamation,2024-11-03,5,Marseille,November,2024-11,3
2025-01-04,web,Manager,Support,Question,2024-12-08,17,Bordeaux,January,2025-01,1
2024-08-12,web,Senior,Support,Réclamation,2024-07-26,16,Paris,August,2024-08,3
2024-02-03,telephone,Senior,Support,Question,2024-01-16,3,Paris,February,2024-02,3
2024-12-23,web,Manager,Comptabilité,Réclamation,2024-12-23,12,Bordeaux,December,2024-12,2
2024-06-30,telephone,Manager,Support,Question,2024-06-19,15,Marseille,June,2024-06,2
2025-05-18,telephone,Client,Vente,Demande,2025-04-26,19,Marseille,May,2025-05,3
2024-04-20,web,Junior,Comptabilité,Question,2024-03-28,3,Marseille,April,2024-04,2
2024-08-21,web,Client,Comptabilité,Réclamation,2024-07-23,5,Lyon,August,2024-08,1
2025-11-17,telephone,Client,Comptabilité,Question,2025-10-19,13,Bordeaux,November,2025-11,3
2024-09-03,telephone,Junior,Vente,Réclamation,2024-09-02,2,Lyon,September,2024-09,2
2024-05-08,web,Senior,Vente,Réclamation,2024-04-10,12,Bordeaux,May,2024-05,3
2025-10-08,telephone,Junior,Comptabilité,Réclamation,2025-09-27,12,Marseille,October,2025-10,2
2025-01-21,telephone,Manager,Comptabilité,Demande,2025-01-10,14,Lyon,January,2025-01,1
2024-10-09,telephone,Client,Support,Demande,2024-09-21,1,Paris,October,2024-10,3
2024-02-03,telephone,Senior,Comptabilité,Demande,2024-01-19,13,Marseille,February,2024-02,2
2024-03-21,web,Client,Support,Question,2024-03-18,4,Lyon,March,2024-03,1
2024-12-16,web,Senior,Vente,Demande,2024-11-28,8,Paris,December,2024-12,2
2024-05-14,web,Client,Comptabilité,Réclamation,2024-05-06,13,Marseille,May,2024-05,1
2024-08-14,telephone,Junior,Comptabilité,Demande,2024-08-09,3,Bordeaux,August,2024-08,1
2025-12-25,web,Junior,Vente,Demande,2025-11-26,2,Marseille,December,2025-12,2
2025-08-12,telephone,Manager,Support,Demande,2025-07-24,10,Bordeaux,August,2025-08,1
2024-12-03,telephone,Senior,Comptabilité,Question,2024-11-11,15,Bordeaux,December,2024-12,3
2025-07-16,telephone,Junior,Vente,Question,2025-07-11,3,Bordeaux,July,2025-07,2
2025-07-16,web,Manager,Support,Demande,2025-06-24,7,Marseille,July,2025-07,2
2024-04-16,telephone,Junior,Comptabilité,Demande,2024-03-25,6,Paris,April,2024-04,3
2025-05-26,telephone,Junior,Comptabilité,Question,2025-05-16,9,Marseille,May,2025-05,1
2024-12-19,telephone,Client,Comptabilité,Question,2024-12-14,10,Paris,December,2024-12,2
2024-04-27,telephone,Senior,Comptabilité,Question,2024-04-03,2,Marseille,April,2024-04,1
2025-12-08,telephone,Senior,Support,Question,2025-11-30,4,Paris,December,2025-12,3
2024-10-06,web,Senior,Vente,Demande,2024-09-10,10,Marseille,October,2024-10,3
2025-09-16,telephone,Client,Comptabilité,Demande,2025-09-02,4,Lyon,September,2025-09,1
2024-03-30,web,Junior,Support,Réclamation,2024-03-29,7,Paris,March,2024-03,3
2025-08-17,web,Junior,Vente,Demande,2025-07-31,18,Marseille,August,2025-08,2
2025-04-07,web,Client,Comptabilité,Demande,2025-03-09,14,Marseille,April,2025-04,2
2025-01-29,web,Junior,Support,Réclamation,2025-01-02,8,Paris,January,2025-01,2
2024-09-03,telephone,Client,Vente,Question,2024-08-26,20,Lyon,September,2024-09,3
2024-09-19,web,Senior,Comptabilité,Réclamation,2024-09-06,2,Bordeaux,September,2024-09,1
2025-02-13,web,Client,Vente,Réclamation,2025-01-19,5,Marseille,February,2025-02,1
2025-09-27,telephone,Senior,Comptabilité,Demande,2025-09-10,8,Bordeaux,September,2025-09,3
2024-11-07,web,Junior,Support,Question,2024-10-12,6,Paris,November,2024-11,2
2024-02-09,web,Manager,Comptabilité,Réclamation,2024-02-01,17,Bordeaux,February,2024-02,3
2025-05-28,telephone,Junior,Support,Réclamation,2025-05-14,3,Paris,May,2025-05,3
2024-07-29,telephone,Junior,Comptabilité,Réclamation,2024-07-14,5,Paris,July,2024-07,3
2024-04-24,web,Senior,Vente,Réclamation,2024-04-17,3,Lyon,April,2024-04,3
2025-09-01,telephone,Manager,Support,Demande,2025-08-06,13,Lyon,September,2025-09,2
2024-03-08,web,Manager,Vente,Demande,2024-02-09,5,Paris,March,2024-03,1
2025-03-20,web,Manager,Support,Réclamation,2025-03-19,15,Lyon,March,2025-03,2
2025-06-08,web,Client,Comptabilité,Réclamation,2025-06-03,10,Marseille,June,2025-06,3
2024-09-09,telephone,Manager,Support,Demande,2024-09-05,13,Bordeaux,September,2024-09,2
2024-11-17,web,Senior,Vente,Demande,2024-11-07,16,Paris,November,2024-11,1
2025-07-22,telephone,Client,Comptabilité,Question,2025-06-29,3,Lyon,July,2025-07,3
2024-06-09,telephone,Junior,Vente,Demande,2024-05-20,14,Paris,June,2024-06,1
2024-11-07,telephone,Senior,Comptabilité,Réclamation,2024-10-30,9,Bordeaux,November,2024-11,3
2025-10-26,web,Junior,Comptabilité,Réclamation,2025-10-17,15,Paris,October,2025-10,1
2025-05-16,telephone,Senior,Vente,Réclamation,2025-05-06,6,Marseille,May,2025-05,1
2025-05-03,web,Manager,Support,Question,2025-05-03,9,Lyon,May,2025-05,2
2024-07-17,telephone,Senior,Comptabilité,Demande,2024-07-01,11,Bordeaux,July,2024-07,1
2024-05-12,web,Senior,Vente,Demande,2024-04-13,4,Marseille,May,2024-05,2
2025-07-09,telephone,Manager,Comptabilité,Demande,2025-06-25,3,Bordeaux,July,2025-07,1
2024-04-14,telephone,Client,Vente,Réclamation,2024-03-22,7,Bordeaux,April,2024-04,3
2025-06-12,telephone,Manager,Support,Réclamation,2025-06-01,1,Lyon,June,2025-06,1
2025-11-18,web,Manager,Support,Question,2025-10-26,5,Paris,November,2025-11,2
2024-07-25,web,Manager,Vente,Réclamation,2024-07-17,3,Bordeaux,July,2024-07,2
2024-11-29,telephone,Client,Comptabilité,Réclamation,2024-11-13,1,Paris,November,2024-11,1
2025-04-12,telephone,Senior,Comptabilité,Demande,2025-04-07,3,Lyon,April,2025-04,1
2025-02-19,telephone,Manager,Vente,Demande,2025-02-12,8,Marseille,February,2025-02,3
2025-07-16,web,Junior,Vente,Réclamation,2025-06-20,7,Marseille,July,2025-07,1
2024-01-10,telephone,Junior,Support,Demande,2023-12-13,10,Bordeaux,January,2024-01,3
2025-09-13,web,Junior,Vente,Question,2025-09-13,16,Paris,September,2025-09,3
2024-08-09,web,Manager,Support,Réclamation,2024-07-21,3,Lyon,August,2024-08,1
2024-12-04,telephone,Client,Comptabilité,Réclamation,2024-11-09,6,Paris,December,2024-12,1
2025-08-09,web,Senior,Comptabilité,Réclamation,2025-07-30,13,Lyon,August,2025-08,3
2025-10-11,web,Senior,Vente,Demande,2025-09-27,9,Bordeaux,October,2025-10,1
2024-10-05,telephone,Manager,Support,Réclamation,2024-10-04,4,Marseille,October,2024-10,3
2024-11-28,telephone,Senior,Comptabilité,Réclamation,2024-11-12,3,Bordeaux,November,2024-11,1
2024-12-15,web,Junior,Support,Demande,2024-11-21,17,Marseille,December,2024-12,2
2024-09-23,web,Senior,Comptabilité,Question,2024-08-24,2,Paris,September,2024-09,1
2025-04-15,telephone,Junior,Comptabilité,Demande,2025-04-08,15,Paris,April,2025-04,3
2025-11-19,telephone,Junior,Vente,Question,2025-11-10,8,Lyon,November,2025-11,2
2025-02-10,telephone,Manager,Comptabilité,Question,2025-02-03,6,Bordeaux,February,2025-02,2
2025-06-19,web,Client,Support,Réclamation,2025-06-08,5,Lyon,June,2025-06,1
2025-08-30,telephone,Junior,Support,Réclamation,2025-08-13,17,Paris,August,2025-08,3
2025-04-03,telephone,Junior,Comptabilité,Demande,2025-03-11,18,Marseille,April,2025-04,1
2024-06-10,web,Junior,Comptabilité,Question,2024-05-15,5,Paris,June,2024-06,3
2024-11-24,web,Junior,Support,Demande,2024-11-12,11,Lyon,November,2024-11,2
2025-08-26,telephone,Client,Vente,Question,2025-08-11,8,Paris,August,2025-08,2
2025-06-09,telephone,Junior,Comptabilité,Demande,2025-05-18,17,Paris,June,2025-06,3
2025-12-06,web,Senior,Vente,Réclamation,2025-11-16,10,Paris,December,2025-12,3
2024-10-03,web,Senior,Support,Question,2024-09-30,13,Bordeaux,October,2024-10,1
2025-02-14,telephone,Junior,Vente,Demande,2025-02-04,5,Bordeaux,February,2025-02,3
2024-09-10,web,Client,Support,Réclamation,2024-08-27,18,Marseille,September,2024-09,1
2024-05-05,telephone,Manager,Vente,Question,2024-04-23,14,Bordeaux,May,2024-05,1
2025-03-22,telephone,Manager,Vente,Réclamation,2025-03-13,1,Bordeaux,March,2025-03,1
2024-07-17,telephone,Client,Vente,Réclamation,2024-06-21,10,Marseille,July,2024-07,2
2024-03-18,web,Manager,Comptabilité,Question,2024-02-19,8,Bordeaux,March,2024-03,3
2025-08-09,web,Manager,Comptabilité,Question,2025-07-26,15,Bordeaux,August,2025-08,2
2024-04-16,web,Senior,Vente,Réclamation,2024-03-20,7,Paris,April,2024-04,2
2025-04-07,web,Senior,Support,Demande,2025-03-17,20,Lyon,April,2025-04,3
2024-01-25,telephone,Junior,Comptabilité,Question,2024-01-18,14,Marseille,January,2024-01,2
2024-02-07,web,Client,Vente,Question,2024-01-11,18,Marseille,February,2024-02,1
2024-08-20,web,Junior,Support,Demande,2024-08-03,15,Lyon,August,2024-08,3
2025-10-30,web,Client,Vente,Question,2025-10-29,12,Lyon,October,2025-10,1
2025-02-03,web,Senior,Vente,Demande,2025-01-21,14,Marseille,February,2025-02,2
2025-04-11,telephone,Manager,Vente,Question,2025-04-04,7,Marseille,April,2025-04,3
2025-07-12,telephone,Client,Support,Demande,2025-06-23,16,Paris,July,2025-07,1
2024-08-24,web,Senior,Comptabilité,Réclamation,2024-08-21,8,Marseille,August,2024-08,3
2024-03-25,web,Manager,Support,Demande,2024-03-03,16,Paris,March,2024-03,2
2024-03-22,web,Junior,Support,Réclamation,2024-03-14,7,Lyon,March,2024-03,1
2025-08-03,web,Junior,Support,Réclamation,2025-07-06,2,Paris,August,2025-08,2
2024-12-19,web,Senior,Comptabilité,Réclamation,2024-12-17,3,Marseille,December,2024-12,3
2025-11-26,web,Manager,Vente,Question,2025-11-14,5,Paris,November,2025-11,3
2025-02-10,telephone,Junior,Support,Réclamation,2025-02-03,10,Lyon,February,2025-02,3
2024-09-10,telephone,Senior,Vente,Demande,2024-08-31,12,Marseille,September,2024-09,3
2025-03-11,telephone,Manager,Comptabilité,Question,2025-03-03,1,Bordeaux,March,2025-03,1
2025-09-08,telephone,Junior,Support,Réclamation,2025-09-08,4,Paris,September,2025-09,2
2025-10-22,telephone,Senior,Support,Demande,2025-10-10,17,Marseille,October,2025-10,2
2024-01-03,web,Client,Vente,Réclamation,2023-12-07,16,Paris,January,2024-01,2
2025-07-30,web,Client,Comptabilité,Question,2025-07-07,8,Bordeaux,July,2025-07,2
2025-12-22,web,Manager,Comptabilité,Demande,2025-12-14,4,Paris,December,2025-12,2
2024-08-22,telephone,Client,Support,Question,2024-07-29,9,Bordeaux,August,2024-08,1
2025-10-24,telephone,Senior,Vente,Demande,2025-10-05,5,Bordeaux,October,2025-10,1
2025-12-10,web,Manager,Comptabilité,Question,2025-11-25,1,Marseille,December,2025-12,3
2024-01-29,web,Junior,Comptabilité,Question,2024-01-16,10,Lyon,January,2024-01,1
2025-04-08,web,Junior,Comptabilité,Question,2025-04-05,11,Marseille,April,2025-04,3
2025-09-06,telephone,Manager,Comptabilité,Question,2025-08-24,4,Bordeaux,September,2025-09,2
2024-10-05,telephone,Client,Vente,Question,2024-09-30,12,Marseille,October,2024-10,2
2025-06-26,telephone,Junior,Support,Question,2025-06-16,9,Marseille,June,2025-06,2
2025-12-19,telephone,Client,Vente,Demande,2025-11-24,5,Paris,December,2025-12,1
2024-02-22,web,Senior,Comptabilité,Réclamation,2024-02-17,16,Bordeaux,February,2024-02,1
2025-09-21,telephone,Client,Vente,Demande,2025-09-20,1,Lyon,September,2025-09,2
2025-12-21,telephone,Manager,Support,Question,2025-12-21,15,Lyon,December,2025-12,3
2024-03-21,telephone,Senior,Vente,Demande,2024-02-28,10,Bordeaux,March,2024-03,3
2024-08-21,web,Manager,Comptabilité,Question,2024-07-27,7,Paris,August,2024-08,1
2024-07-07,web,Manager,Comptabilité,Demande,2024-06-21,17,Bordeaux,July,2024-07,1
2024-03-19,telephone,Client,Vente,Demande,2024-03-02,10,Marseille,March,2024-03,1
2024-05-21,telephone,Client,Vente,Réclamation,2024-05-05,19,Bordeaux,May,2024-05,1
2024-03-04,web,Client,Support,Réclamation,2024-02-04,10,Marseille,March,2024-03,2
2024-11-11,web,Manager,Vente,Réclamation,2024-11-06,1,Paris,November,2024-11,1
2024-03-03,telephone,Manager,Vente,Demande,2024-02-16,18,Marseille,March,2024-03,2
2024-05-04,web,Senior,Vente,Réclamation,2024-04-22,5,Lyon,May,2024-05,2
2025-11-26,web,Senior,Comptabilité,Question,2025-10-28,10,Lyon,November,2025-11,2
2025-05-23,telephone,Manager,Support,Réclamation,2025-04-29,15,Marseille,May,2025-05,2
2024-09-02,web,Senior,Comptabilité,Demande,2024-08-11,9,Paris,September,2024-09,2
2025-12-04,web,Client,Support,Question,2025-12-02,2,Bordeaux,December,2025-12,2
2024-12-09,telephone,Senior,Comptabilité,Question,2024-12-04,20,Marseille,December,2024-12,3
2024-12-14,web,Senior,Vente,Réclamation,2024-11-17,13,Marseille,December,2024-12,2
2025-07-30,web,Manager,Comptabilité,Question,2025-07-03,10,Paris,July,2025-07,1
2025-07-27,web,Senior,Comptabilité,Réclamation,2025-07-13,13,Lyon,July,2025-07,2
2025-01-20,telephone,Junior,Support,Demande,2024-12-25,2,Marseille,January,2025-01,1
2025-09-30,telephone,Senior,Vente,Demande,2025-09-08,6,Paris,September,2025-09,2
2025-12-21,telephone,Junior,Comptabilité,Réclamation,2025-12-07,14,Bordeaux,December,2025-12,2
2024-02-15,telephone,Senior,Vente,Question,2024-01-20,12,Paris,February,2024-02,2
2024-06-01,telephone,Manager,Comptabilité,Réclamation,2024-05-12,20,Bordeaux,June,2024-06,3
2024-09-09,web,Manager,Support,Question,2024-08-25,15,Lyon,September,2024-09,3
2024-10-18,web,Manager,Vente,Question,2024-09-22,9,Lyon,October,2024-10,3
2024-04-02,web,Junior,Comptabilité,Demande,2024-03-24,13,Marseille,April,2024-04,2
2025-09-30,web,Manager,Vente,Question,2025-09-04,15,Bordeaux,September,2025-09,1
2024-04-14,web,Client,Support,Demande,2024-03-23,13,Lyon,April,2024-04,1
2025-03-15,telephone,Senior,Comptabilité,Question,2025-02-17,4,Lyon,March,2025-03,3
2024-09-08,web,Manager,Comptabilité,Demande,2024-08-28,5,Lyon,September,2024-09,2
2025-07-20,telephone,Junior,Support,Question,2025-07-18,16,Bordeaux,July,2025-07,2
2025-10-24,telephone,Senior,Support,Question,2025-10-24,9,Lyon,October,2025-10,2
2024-03-19,web,Client,Vente,Question,2024-03-16,15,Paris,March,2024-03,2
2024-08-02,web,Senior,Vente,Question,2024-07-26,19,Paris,August,2024-08,1
2024-02-18,web,Senior,Vente,Demande,2024-01-28,10,Paris,February,2024-02,2
2025-10-08,telephone,Senior,Support,Question,2025-09-10,2,Lyon,October,2025-10,2
2025-12-10,telephone,Junior,Comptabilité,Demande,2025-12-03,16,Marseille,December,2025-12,3
2024-03-18,telephone,Junior,Support,Demande,2024-03-03,9,Bordeaux,March,2024-03,3
2024-06-09,web,Manager,Vente,Réclamation,2024-06-05,2,Lyon,June,2024-06,3
2024-02-08,web,Manager,Support,Question,2024-01-10,3,Marseille,February,2024-02,1
2025-07-26,telephone,Manager,Comptabilité,Demande,2025-06-27,1,Bordeaux,July,2025-07,2
2025-11-19,telephone,Manager,Comptabilité,Demande,2025-11-19,4,Paris,November,2025-11,1
2025-09-28,web,Senior,Support,Réclamation,2025-09-10,8,Paris,September,2025-09,2
2024-11-10,web,Senior,Vente,Réclamation,2024-11-10,8,Lyon,November,2024-11,2
2025-08-29,telephone,Senior,Vente,Question,2025-08-15,2,Bordeaux,August,2025-08,1
2025-09-26,web,Client,Comptabilité,Réclamation,2025-09-08,19,Bordeaux,September,2025-09,3
2025-12-19,telephone,Junior,Vente,Question,2025-11-28,17,Paris,December,2025-12,1
2025-07-15,web,Manager,Support,Demande,2025-07-10,7,Bordeaux,July,2025-07,2
2025-04-17,web,Client,Comptabilité,Question,2025-03-21,9,Bordeaux,April,2025-04,2
2025-06-03,telephone,Senior,Comptabilité,Demande,2025-05-08,12,Paris,June,2025-06,1
2024-01-09,telephone,Senior,Vente,Demande,2023-12-27,13,Marseille,January,2024-01,3
2025-08-11,web,Senior,Support,Demande,2025-08-02,4,Lyon,August,2025-08,2
2024-07-25,telephone,Senior,Support,Réclamation,2024-07-19,17,Lyon,July,2024-07,1
2024-04-04,telephone,Manager,Vente,Question,2024-03-22,8,Paris,April,2024-04,1
2025-03-25,telephone,Senior,Support,Question,2025-03-23,8,Bordeaux,March,2025-03,1
2024-04-09,telephone,Senior,Support,Réclamation,2024-03-21,19,Marseille,April,2024-04,1
2025-09-10,telephone,Junior,Support,Question,2025-09-02,3,Paris,September,2025-09,2
2024-08-05,web,Senior,Comptabilité,Demande,2024-07-29,5,Paris,August,2024-08,1
2025-05-19,telephone,Manager,Comptabilité,Réclamation,2025-05-09,14,Paris,May,2025-05,2
2025-03-11,telephone,Senior,Comptabilité,Question,2025-02-19,9,Bordeaux,March,2025-03,3
2025-12-29,web,Client,Support,Question,2025-12-21,3,Bordeaux,December,2025-12,1
2024-02-21,web,Manager,Support,Demande,2024-02-05,5,Paris,February,2024-02,3
2024-08-29,telephone,Senior,Comptabilité,Réclamation,2024-08-19,19,Lyon,August,2024-08,1
2024-11-20,telephone,Manager,Vente,Réclamation,2024-11-09,8,Bordeaux,November,2024-11,2
2024-08-09,telephone,Senior,Comptabilité,Demande,2024-07-11,18,Lyon,August,2024-08,2
2024-10-05,web,Client,Vente,Question,2024-09-11,18,Bordeaux,October,2024-10,3
2024-01-01,web,Manager,Support,Demande,2023-12-26,2,Marseille,January,2024-01,2
2024-05-25,telephone,Senior,Vente,Réclamation,2024-04-30,9,Bordeaux,May,2024-05,2
2024-05-01,telephone,Manager,Support,Demande,2024-04-20,2,Marseille,May,2024-05,1
2024-10-18,telephone,Junior,Vente,Question,2024-10-06,7,Lyon,October,2024-10,1
2025-12-01,web,Manager,Support,Réclamation,2025-11-22,14,Lyon,December,2025-12,2
2024-04-16,telephone,Manager,Comptabilité,Demande,2024-04-14,3,Marseille,April,2024-04,2
2025-08-31,web,Senior,Vente,Réclamation,2025-08-21,3,Bordeaux,August,2025-08,3
2025-08-06,web,Junior,Comptabilité,Question,2025-07-18,2,Marseille,August,2025-08,1
2025-06-26,telephone,Manager,Vente,Réclamation,2025-06-05,6,Marseille,June,2025-06,1
2024-08-31,telephone,Client,Vente,Question,2024-08-30,6,Marseille,August,2024-08,3
2024-01-10,web,Manager,Comptabilité,Réclamation,2023-12-30,13,Paris,January,2024-01,1
2024-08-07,web,Junior,Vente,Demande,2024-07-31,11,Bordeaux,August,2024-08,1
2024-04-03,telephone,Junior,Support,Question,2024-03-13,16,Marseille,April,2024-04,2
2025-04-13,telephone,Senior,Comptabilité,Question,2025-03-17,10,Lyon,April,2025-04,2
2025-01-19,telephone,Senior,Comptabilité,Question,2025-01-11,17,Paris,January,2025-01,1
2025-09-07,web,Client,Support,Question,2025-08-08,12,Bordeaux,September,2025-09,3
2024-05-24,telephone,Client,Vente,Réclamation,2024-05-11,10,Bordeaux,May,2024-05,2
2025-12-31,web,Manager,Vente,Demande,2025-12-17,7,Lyon,December,2025-12,2
2024-07-19,telephone,Junior,Support,Réclamation,2024-07-02,20,Lyon,July,2024-07,3
2025-08-11,web,Junior,Comptabilité,Réclamation,2025-07-20,11,Lyon,August,2025-08,1
2024-04-27,telephone,Client,Comptabilité,Demande,2024-04-03,3,Paris,April,2024-04,3
2024-01-11,telephone,Client,Vente,Réclamation,2023-12-17,10,Bordeaux,January,2024-01,3
2024-04-25,telephone,Junior,Comptabilité,Question,2024-03-26,17,Lyon,April,2024-04,1
2025-11-28,telephone,Senior,Support,Demande,2025-11-21,7,Lyon,November,2025-11,3
2024-10-21,telephone,Junior,Vente,Demande,2024-10-09,3,Paris,October,2024-10,3
2024-08-20,web,Manager,Comptabilité,Demande,2024-07-29,13,Marseille,August,2024-08,3
2025-05-06,telephone,Senior,Comptabilité,Demande,2025-04-28,19,Marseille,May,2025-05,2
2024-03-13,telephone,Senior,Support,Question,2024-02-26,14,Bordeaux,March,2024-03,3
2024-07-06,web,Manager,Vente,Réclamation,2024-06-17,3,Marseille,July,2024-07,1
2024-10-28,web,Client,Support,Demande,2024-10-14,15,Marseille,October,2024-10,3
2024-05-13,web,Senior,Vente,Réclamation,2024-04-20,18,Bordeaux,May,2024-05,1
2025-11-10,web,Senior,Comptabilité,Réclamation,2025-10-31,8,Marseille,November,2025-11,2
2025-11-08,telephone,Manager,Support,Demande,2025-10-11,17,Bordeaux,November,2025-11,1
2025-07-25,web,Junior,Support,Question,2025-07-14,1,Bordeaux,July,2025-07,3
2025-04-04,telephone,Manager,Comptabilité,Demande,2025-03-08,2,Paris,April,2025-04,2
2025-10-27,web,Client,Comptabilité,Demande,2025-10-06,1,Lyon,October,2025-10,2
2024-08-05,web,Client,Support,Demande,2024-07-17,1,Paris,August,2024-08,2
2025-09-26,web,Junior,Support,Demande,2025-08-30,18,Marseille,September,2025-09,2
2025-08-10,web,Senior,Support,Demande,2025-08-04,9,Marseille,August,2025-08,3
2025-01-21,web,Junior,Support,Demande,2024-12-25,19,Paris,January,2025-01,2
2025-08-16,telephone,Client,Comptabilité,Réclamation,2025-07-28,10,Paris,August,2025-08,3
2025-06-15,web,Senior,Comptabilité,Réclamation,2025-05-27,16,Lyon,June,2025-06,1
2024-10-24,telephone,Manager,Support,Réclamation,2024-10-08,1,Bordeaux,October,2024-10,2
2025-02-06,web,Manager,Comptabilité,Réclamation,2025-02-02,5,Paris,February,2025-02,3
2025-08-12,web,Client,Comptabilité,Réclamation,2025-07-20,6,Paris,August,2025-08,1
2025-01-25,telephone,Junior,Comptabilité,Réclamation,2024-12-26,15,Bordeaux,January,2025-01,1
2024-03-20,telephone,Senior,Comptabilité,Demande,2024-02-26,2,Marseille,March,2024-03,2
2025-02-12,telephone,Senior,Support,Demande,2025-01-23,14,Paris,February,2025-02,1
2024-04-24,telephone,Manager,Vente,Demande,2024-04-20,14,Paris,April,2024-04,3
2025-02-09,web,Junior,Comptabilité,Question,2025-01-22,3,Paris,February,2025-02,1
2024-02-28,web,Junior,Support,Demande,2024-02-04,6,Lyon,February,2024-02,2
2025-02-12,web,Client,Support,Réclamation,2025-01-16,2,Lyon,February,2025-02,3
2025-09-14,telephone,Junior,Vente,Demande,2025-08-24,7,Lyon,September,2025-09,2
2025-06-17,web,Client,Comptabilité,Demande,2025-05-21,9,Marseille,June,2025-06,3
2024-10-10,web,Senior,Support,Demande,2024-09-27,16,Lyon,October,2024-10,2
2024-07-28,telephone,Client,Vente,Question,2024-07-28,6,Lyon,July,2024-07,1
2024-05-30,web,Junior,Support,Demande,2024-05-29,13,Bordeaux,May,2024-05,3
2025-04-07,telephone,Manager,Vente,Demande,2025-04-04,14,Bordeaux,April,2025-04,2
2024-12-05,telephone,Manager,Support,Demande,2024-12-03,5,Bordeaux,December,2024-12,3
2024-07-02,web,Client,Support,Réclamation,2024-06-16,10,Marseille,July,2024-07,2
2025-10-22,web,Senior,Vente,Question,2025-09-24,8,Lyon,October,2025-10,1
2024-04-02,web,Client,Vente,Demande,2024-03-22,7,Paris,April,2024-04,3
2025-05-14,web,Manager,Vente,Question,2025-05-01,2,Lyon,May,2025-05,3
2024-01-10,web,Manager,Vente,Question,2024-01-02,16,Lyon,January,2024-01,3
2024-08-23,telephone,Manager,Comptabilité,Réclamation,2024-08-21,16,Paris,August,2024-08,3
2024-08-16,telephone,Junior,Vente,Réclamation,2024-08-15,17,Marseille,August,2024-08,2
2025-04-03,telephone,Senior,Vente,Demande,2025-03-22,16,Paris,April,2025-04,1
2025-01-04,telephone,Client,Vente,Question,2024-12-15,12,Paris,January,2025-01,1
2025-12-16,web,Junior,Vente,Question,2025-12-16,8,Marseille,December,2025-12,3
